Company,"Parent company

(if known)",Allegation that a company has failed to provide plasma,Allegation that a community is receiving inadequate payments from plasma,Protests,Government interventions,Province,District (kabupaten),Sub-district (kecamatan),"Sub-district (kecamatan) 2

(if more than one listed)","Village 

(if known)",Date of most recent report,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Link 7
Agro Masang Perkasa (AMP),Wilmar,Yes,,Yes,,West Sumatra,Agam,Tanjung Mutiara,Ampek Nagari,Tiku V Jorong,20/05/2019,"https://www.riauterkini.com/hukum.php?arr=141752&judul=%20PN%20Rohul%20Sidang%20Setempat%20di%20PT.%20AMR,%20Lahan%20Plasma%20Koperasi%20Sawit%20Kepenuhan%20Timur%20tak%20Terawat",https://www.fajarsumbar.com/2019/02/buntut-dari-sangketa-antara-kopaja.html,https://askrspo.force.com/Complaint/s/case/5009000002AtWekAAF/detail,https://www.wilmar-international.com/docs/default-source/default-document-library/sustainability/wilmar-ef-1st-phase-of-community-project-in-pasaman-barat.pdf?sfvrsn=36e0ad6c_2,https://www.insideindonesia.org/the-trouble-with-oil-palm,,
Agro Mitra Rokan,Unknown,Yes,,Yes,Yes,Riau,Rokan Hulu,Kecepatan,,,01/07/2020,https://s3.eu-central-1.wasabisys.com/cache.raindrop.io/243/163/020/file?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=BE6X466RAMMR6TB09V4G%2F20220401%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20220401T094659Z&X-Amz-Expires=300&X-Amz-Signature=41740f447d404609fdcd1b8317ac15d05850a08a86e633bfbf353b17044d45f8&X-Amz-SignedHeaders=host,https://riau.antaranews.com/berita/18574/petani-kecam-perusahan-ingkar-janji,https://nadariau.com/2019/04/08/pt-amr-tidak-bisa-tunjukan-lahan-perkebunan-inti-dan-plasma-di-pengadilan-rohul/,,,,
Agro Nusa Abadi,Astra Agro Lestari,Yes,,Yes,Yes,Central Sulawesi,North Morowali,Petasia Timur,,,07/10/2019,https://www.metrosulteng.com/warga-desa-peboa-blokir-akses-pt-ana/,https://web.archive.org/web/20191011102436/https://www.antaranews.com/berita/967216/agro-nusa-abadi-desa-bungingtimbe-teken-mou-kebun-kelapa-sawit,https://web.archive.org/web/20191011102657/https://bengkulu.antaranews.com/berita/74074/warga-lima-desa-desak-pemkab-cabut-izin-pt-ana,https://kumparan.com/fyan-on/pemerintah-morut-dan-masyarakat-lingkar-sawit-menyegel-gerbang-kantor-pt-agro-nusa-abadi,https://www.mongabay.co.id/2015/01/28/walah-hampir-semua-perusahaan-sawit-di-morowali-utara-bermasalah/,https://www.iglobalnews.co.id/2017/12/camat-dan-kepala-desa-hadiri-pembayaran-perdana-kebun-plasma-oleh-pt-agro-nusa-abadi-kepada-masyarakat/,https://kumparan.com/fyan-on/masyarakat-lingkar-sawit-pt-ana-kecewa-kredibilitas-pemerintah-kab-morowali-utara-dipertanyakan
Adau Agro Kalbar,Astra Agro Lestari,,Yes,,Yes,West Kalimantan,Sambas,Sejangkung,,,17/03/2021,http://media.corporate-ir.net/media_files/irol/16/164878/Sustainability/Wilmar_SR_2009_single.pdf,https://www.foeeurope.org/sites/default/files/publications/foee_wilmar_palm_oil_environmental_social_impact_0707.pdf,https://rightsandresources.org/wp-content/exported-pdf/2011oxfamlandandpower.pdf,https://www.cao-ombudsman.org/cases/indonesia-wilmar-01west-kalimantan,https://www.suarapemredkalbar.com/read/sambas/16032021/warga-mengadu-ke-dprd-sambas-soal-pembagian-plasma-sawit,https://www.suarapemredkalbar.com/read/sambas/16032021/warga-mengadu-ke-dprd-sambas-soal-pembagian-plasma-sawit,
Agrokarya Primalestari,Golden Agri-Resources,Yes,,,Yes,Central Kalimantan,East Kotawaringin,,,,05/01/2019,https://kalteng.prokal.co/read/news/13990-tiga-pbs-ditegur-gubernur,https://goldenagri.com.sg/wp-content/uploads/2019/05/GAR-REPORT-ON-SOMO-CASES.pdf?v1,,,,,
Agrolestari Mandiri,Golden Agri-Resources,Yes,,Yes,,West Kalimantan,Ketapang,Nanga Tayap,,,02/02/2020,https://www.mongabay.co.id/2014/11/27/kotak-pandora-di-konsesi-sinar-mas-grup-kalbar/,https://web.archive.org/web/20210525120000/https://www.suarakalbar.co.id/2020/02/tuntut-hak-warga-demo-pt-amnl-di.html,https://web.archive.org/web/20210525120000/https://www.suarakalbar.co.id/2020/02/tuntut-hak-warga-demo-pt-amnl-di.html,,,,
Agrolestari Sentosa,Golden Agri-Resources,Yes,,,,Central Kalimantan,Gunung Mas,,,,02/03/2022,https://www.rspo.org/file/5C(r)%20-%20Summary%20Report%20of%20SEIA%20and%20HCV%20Assessments%20PT%20Agrolestari%20Sentosa.pdf,https://dev.landmatrix.org/media/uploads/5cr-summary-report-of-seia-and-hcv-assessments-pt-agrolestari-sentosa.pdf,,,,,
Andalas Wahana Berjaya,TSH Resources Berhad,Yes,,Yes,,West Sumatra,Dharmasraya,Pulau Punjung,,,11/09/2017,http://web.archive.org/web/20230220113456/https://sumbar.antaranews.com/berita/212020/masyarakat-dharmasraya-tuntut-pt-awb-kembalikan-lahan-plasma,,,,,,
Antang Ganda Utama,Matahari Kahuripan Indonesia,Yes,,Yes,Yes,Central Kalimantan,North Barito,Gunung Timang,,Kamawen,26/11/2018,https://webcache.googleusercontent.com/search?q=cache:T2gWIRPHzPQJ:https://danum.id/masyarakat-tujuh-desa-di-kalteng-ini-tuntut-kebun-plasma-sawit/+&cd=2&hl=en&ct=clnk&gl=us,https://www.borneonews.co.id/berita/72351-masalah-paling-menonjol-pt-agu-dengan-warga-adalah-lahan-kemitraan,,,,,
Anugerah Abadi Multi Usaha,Unknown,Yes,,Yes,Yes,East Kalimantan,Paser,Kuaro,,Lolo,26/01/2016,https://beritakaltim.co/pt-aamu-somasi-dprd-masyarakat-paser-bereaksi/,,https://beritakaltim.co/pt-aamu-somasi-dprd-masyarakat-paser-bereaksi/,https://balikpapan.prokal.co/read/news/181946-negosiasi-deadlock-jalan-perusahaan-diportal.html,https://www.facebook.com/photo/?fbid=10207097755393562&set=pcb.1896901013863437,,
Anugerah Agung Prima Abadi,Unknown,Yes,Yes,Yes,,East Kalimantan,Berau,Kelay,,Muara Lesan,30/04/2019,https://berau.prokal.co/read/news/60156-plasma-masyarakat-tak-diurus-perusahaan.html,https://jpik.or.id/petisi-penyelesaian-konflik-agraria-dan-mengecam-upaya-kriminalisasi-masyarakat-adat-dayak-modang-long-way-di-long-bentuk-oleh-pt-subur-abadi-wana-agung-group-yudha-wahana-abadi-tergabung-dalam-in/,,,,,
Anugerah Makmur Sejati,Evershine & Everbright,,Yes,Yes,,West Kalimantan,Kapuas Hulu,Seberuang,,,01/04/2021,https://repository.gchumanrights.org/bitstream/handle/20.500.11825/661/APMA_GCAwTh_2016-17_Kim.pdf?sequence=3,https://www.forestpeoples.org/sites/default/files/documents/FPP%20new%20GAR%20Complaint%20No%205%20August%202018.pdf,,,,,
Agri Bumi Sentosa,Jaya Agra Wattie,,Yes,Yes,Yes,South Kalimantan,Barito Kuala,Kuripan,,,18/07/2019,https://kalselpos.com/2019/07/warga-tolak-perkebunan-kelapa-sawit/,https://kalsel.prokal.co/read/news/25137-terkait-aktivitas-perusahaan-sawit-warga-mengadu-ke-dewan-batola.html,https://radarbanjarmasin.jawapos.com/banua/18/07/2019/terkait-aktivitas-perusahaan-sawit-warga-mengadu-ke-dewan-batola/,https://kalsel.prokal.co/read/news/47697-saksi-sampaikan-lahan-plasma-tidak-dirawat.html,,,
Arjuna Utama Sawit,GCCP Resources,Yes,,Yes,,Central Kalimantan,Katingan,Kamipang,,,08/11/2017,https://www.infosawit.com/news/7224/di-kecamatan-kamipang--delapan-desa-tuntut-plasma-sawit,https://lensakalteng.com/2017/11/pt-aus-janjikan-plasma-segera-terealisasi/,,,,,
Arvena Sepakat,Incasi Raya Group,Yes,,,Yes,Riau,Indragiri Hulu ,Seberida,,Pangkalan Kasai,22/10/2017,https://pekanbaru.tribunnews.com/2017/10/22/warga-pangkalan-kasai-pertanyakan-plasma-pt-arvena,https://www.transmediariau.com/news/detail/57429/tuntut-kebun-plasma-masyarakat-desa-aur-cina-klaim-kebun-hgu-pt-arvena-sepakat,https://riaupotenza.com/berita/35569/-anggota-kud-kariya-indah-tuntut-eks-pengurus-lakukan-rat-lpj,,,,
Austindo Nusantara Jaya Agri,Austindo Nusantara Jaya,Yes,,Yes,,North Sumatra,Padang Lawas,Huristak,,,01/04/2021,https://www.gosumut.com/berita/baca/2021/03/31/sikapi-tuntutan-pola-pir-warga-huristak-pt-anj-agri-klaim-patuh-perizinan,https://waspada.id/headlines/pt-anj-agri-didesak-kembalikan-tanah-ulayat-masyarakat-huristak/,https://waspada.id/sumut/pt-anj-agri-hormati-pernyataan-pendapat-dan-aksi-masyarakat-huristak/,,,,
Austindo Nusantara Jaya Agri Siais,Austindo Nusantara Jaya,Yes,,Yes,,North Sumatra,South Tapanuli,Angkola Timur,,Binanga,10/05/2015,https://utamanews.com/Hukum---Keamanan/Ratusan-Warga-Angkola-Selatan-Tapsel-Demo-PT-ANJ-Agri-Siais-Tuntut-Realisasi-Sistem-Plasma,https://sumut.inews.id/video/sengketa-lahan-warga-transmigrasi-di-tapanuli-selatan-terusir,https://elsam.or.id/anj-agri-siais-menyatakan-tak-ada-lagi-persoalan-plasma-di-binasari/,https://www.rspo.org/uploads/default/pnc/PT_Austindo_Nusantara_Jaya_RSPO_Intial_Assessment_Summary_Report_of_Siais_POM_PT_ANJ_Agri_Siais_-Agri.pdf,,,
Bakrie Pasaman Plantation,Bakrie Sumatera Plantations,Yes,,,Yes,West Sumatra,West Pasaman,Koto Balingka,,,19/11/2021,https://sumbar.antaranews.com/berita/470497/dprd-pasbar-kecewa-karena-pt-bpp-tidak-hadir-menyikapi-tuntutan-lahan-plasma-sikabau,https://sumbar.poskota.co.id/2022/03/31/kuasai-lahan-plasma-300-ha-warga-sikabau-minta-pt-bakrie-pasaman-plantation-kembalikan,https://www.valoranews.com/berita/17061/petani-tuntut-pt-bakrie-atas-kekurangan-lahan-plasma-seluas-300-hektare.html,https://www.kawasansumbar.com/2021/12/pt-bakrie-pasaman-plantations-pt-bpp.html,,,
Bangun Nusa Indah Lampung,Tunas Baru Lampung Tbk,Yes,,Yes,,Lampung,Tulang Bawang,Banjar Margo,,,19/10/2016,https://web.archive.org/web/20161019143702/https://www.kpa.or.id/news/blog/siaran-pers-hentikan-segera-kriminalisasi-terhadap-sugianto-dan-petani-tulang-bawang/,https://www.youtube.com/watch?v=bFKdu5nH5B0,https://www.youtube.com/watch?v=XU7IzZlGt08,https://www.mongabay.co.id/2016/10/18/tergusur-perusahaan-konflik-lahan-petani-tulang-bawang-berlarut-larut/,https://m.lampost.co/berita-sengketa-lahan-dengan-bnil-serikat-tani-bertandang-ke-jakarta.html,https://news.okezone.com/read/2016/10/01/340/1503686/bentrok-warga-di-lampung-17-tenda-12-motor-dibakar,
Bangun Nusa Mandiri,Golden Agri-Resources,Yes,,,,West Kalimantan,Ketapang,Tumbang Titi,Marau,,02/07/2020,https://putusan3.mahkamahagung.go.id/direktori/putusan/57e7d13119c9571d37ccf8a11e1e69af.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/7b17735117c6188add35731a1ad23672.html,https://www.mkri.id/public/content/persidangan/putusan/putusan_sidang_Putusan%2055%20PUU-2010-TELAH%20BACA.pdf,https://rspo.my.salesforce.com/sfc/p/#90000000YoJi/a/0o000000U1zi/xqgYNZaqdKsHfcssRnYUo87KQJicMLoy8ymJayP.bvE,,,
Berau Karetindo Lestari,Korompis Family,Yes,,,,East Kalimantan,Berau,Segah,,,15/04/2017,https://rightsandresources.org/wp-content/uploads/2017/05/Gender-Issues-in-Large-Scale-Land-Acquisition-Insights-from-Oil-Palm-in-Indonesia_April-2017_CIFOR.pdf,,,,,,
Berjaya Agro Kalimantan,Mitra Agung Sawita Sejati,Yes,,,,Central Kalimantan,North Barito,Montalat,,,29/01/2015,https://sawitwatch.or.id/2015/01/29/27-warga-kecamatan-montalat-di-tangkap-meminta-tanahnya-kembali/,https://putusan3.mahkamahagung.go.id/search.html?q=kamawen&page=2,https://www.tanahkita.id/data/konflik/?kd_prop=62&tahun=2008&tipe=&bulan=7&mmode=1,https://www.kitlv.nl/wp-content/uploads/2021/01/Kalteng_Indonesia_Policy-report-POCAJI-final.pdf,,,
Bersama Sejahtera Sakti,Sime Darby,Yes,,,,South Kalimantan,Kotabaru,Pululaut Timur,,,14/10/2020,https://banjarmasin.tribunnews.com/2020/10/14/soal-tuntutan-hak-plasma-sawit-di-kotabaru-distan-kotabaru-sebut-kendala-ketersediaan-lahan,https://koranbanjar.net/dprd-kotabaru-panggil-manajemen-pt-bss-terkait-penyediaan-plasma-yang-tidak-sesuai/,,,,,
Bersama Sejahtera Sakti (Pantai Timur Estate),Sime Darby,Yes,,Yes,,South Kalimantan,Kotabaru,Pulau Laut Timur,,,09/03/2016,https://banjarmasin.tribunnews.com/2020/10/13/video-dprd-kotabaru-dan-masyarakat-sama-sama-kecewa-soal-kebun-plasma-tak-ada-solusi,http://www.media-investigasi.com/2016/03/sengketa-lahan-kelapa-sawit-pt-bss_8.html,,,,,
Agri Eastborneo Kencana,Kencana Agri,,Yes,Yes,Yes,South-east Sulawesi,South Konawe,Buke,,Wonua Maroa,17/11/2021,https://www.mediasultra.co.id/2021/10/29/ingkar-janji-ratusan-warga-lakukan-unjuk-rasa-di-depan-pt-bnp/,https://beritakotakendari.com/2021/11/surunuddin-didesak-tuntaskan-persoalan-pt-bnp/,https://kendaripos.co.id/2021/11/wabup-mediasi-sengeta-petani-dengan-pt-bnp/,,,,
Bintang Riau Sejahtera,Unknown,Yes,,,Yes,Riau,Indragiri Hulu ,Peranap,,"Desa Batu RIjal Hulu, Desa Semelinang Darat, Kelurahan Batu RIjal Hilir",01/04/2018,http://potret24.com/artikel/koperasi-tiga-serumpun-ancam-duduki-paksa-kebun-plasma/,https://www.sawitplus.com/2018/04/01/rakyat-tiga-desa-tuntut-kebun-plasma-pt-bintang-riau-sejahtera/,https://pekanbaru.tribunnews.com/2018/08/10/sekda-minta-pt-brs-dan-koperasi-tiga-serumpun-hargai-sk-bupati,,,,
Agrindo Panca Tunggal Perkasa,Agrindo Panca Tunggal Perkasa,,Yes,,,South Kalimantan,Barito Kuala,,,,24/08/2020,https://www.tabengan.com/bacaberita/41476/dewan-minta-pt-bki-transparan-soal-plasma/,https://balanganews.com/bartim/berita-16735/terkait-kebun-plasma-dewan-minta-pt-bki-transparan/,https://www.baritorayapost.com/2020/08/dukung-masyarakat-pertahankan-hak.html,,,,
Boswa Megalopolis,Multi Agro Gemilang Plantation Tbk,Yes,,,,Aceh,Aceh Jaya,Krueng Sabee,,Panggong,02/09/2019,https://aceh.tribunnews.com/2015/03/28/500-hektare-sawit-belum-ditanam,https://www.ajnn.net/news/pt-boswa-siap-tampung-aspirasi-warga-curek/amp.html,https://waspadaaceh.com/sejumlah-warga-tolak-pt-bm-beroperasi-kembali-di-desa-curek/,https://aceh.antaranews.com/berita/94162/pt-boswa-megalopolis-tandatangani-mou-dengan-koperasi-plasma-jaya-mandiri,,,
Binasawit Abadi Pratama,Golden Agri-Resources,Yes,,,Yes,Central Kalimantan,Seruyan,Hanau,,Salonok,30/01/2019,https://www.beritasatu.com/nasional/535500/pemprov-kalteng-pastikan-anak-usaha-sinar-mas-belum-kantongi-izin,https://www.medcom.id/nasional/hukum/zNAL6GzK-petinggi-sinar-mas-menyesal-suap-anggota-dewan,https://www.hitvberita.com/hukum/terungkap-ketua-komisi-b-dprd-kalteng-mengaku-main-judi-di-singapura/,https://kobarnews.com/2018/10/09/waow-12-tahun-pt-bsap-tanam-sawit-tanpa-izin-benarkah/,https://goldenagri.com.sg/wp-content/uploads/2019/03/Statement_Jakarta-Corruption-Court-Decision_GAR.pdf?v1,https://putusan3.mahkamahagung.go.id/direktori/putusan/166b3b89598df43e9e6829a2393fce87.html,https://rspo.my.salesforce.com/sfc/p/#90000000YoJi/a/0o000000U1zi/xqgYNZaqdKsHfcssRnYUo87KQJicMLoy8ymJayP.bvE
Budiduta Agro Mandiri,Unknown,Yes,,Yes,Yes,East Kalimantan,Kutai Kartanegara,Tenggarong,,Jahab,01/11/2019,https://daerah.sindonews.com/read/1454267/174/tuntut-kebun-plasma-sawit-masyarakat-adat-di-kukar-gelar-demo-1572518182,https://www.youtube.com/watch?v=_xFzoA95zpI,https://kaltim.antaranews.com/berita/8314/warga-jahab-tuntut-cabut-hgu-pt-budi-duta-agromakmur,http://kabarsumatera.com/2014/11/06/tuntut-kebun-plasma-20-persen-ratusan-warga-blokade-jalan-pt-bcp/,,,
Buana Artha Sejahtera,Golden Agri-Resources,Yes,,,Yes,Central Kalimantan,East Kotawaringin,,,,05/01/2019,https://www.rspo.org/uploads/default/pnc/Semilar_Mill_RSPO_ASA_03_Summary_Report_PT_Tapian_Nadenggan_GAR.pdf,https://kalteng.prokal.co/read/news/13990-tiga-pbs-ditegur-gubernur,https://goldenagri.com.sg/wp-content/uploads/2019/05/GAR-REPORT-ON-SOMO-CASES.pdf?v1,https://goldenagri.com.sg/sustainability/investing-in-communities/community-engagement/social-conflicts/,,,
Buluh Cawang Plantations,Wilmar,Yes,,Yes,Yes,South Sumatra,Ogan Komering Ilir,Lempung Jaya,,Mukti Sari,19/12/2014,https://palembang.tribunnews.com/2014/12/19/sengketa-masyarakat-dengan-pt-bcp-dan-tania-selatan-potensi-konflik,https://web.archive.org/web/20210525113836/https://kabarsumatera.com/2014/11/06/tuntut-kebun-plasma-20-persen-ratusan-warga-blokade-jalan-pt-bcp/,https://daerah.sindonews.com/read/925697/151/warga-vs-perusahaan-sawit-kapan-berhenti-1416289606,https://www.foeeurope.org/sites/default/files/publications/foee_wilmar_palm_oil_environmental_social_impact_0707.pdf,,,
Bukit Bintang Sawit,Bukit Bintang Sawit,,Yes,Yes,,Jambi,Muaro Jambi,Kumpeh,,Sogo,26/09/2020,https://www.walhi-jambi.com/2019/02/siaran-pres-aksi-konflik-lahan-antara.html,https://www.youtube.com/watch?v=hI-St7ZsD0c,https://www.mongabay.co.id/2019/02/21/konflik-lahan-warga-kumpeh-vs-perusahaan-sawit-berlarut/,https://www.researchgate.net/publication/349003874_Conflicts_Of_Land_Confiscationis_In_Sogo_Village_Community_Versus_PTBukit_Bintang_Sawit_WILMAR,https://jambi.tribunnews.com/2020/09/26/desak-selesaikan-masalah-dengan-perusahaan-warga-tiga-desa-aksi-damai-di-kantor-bupati,https://www.mongabay.co.id/2019/02/21/konflik-lahan-warga-kumpeh-vs-perusahaan-sawit-berlarut/,
Bumi Mulia Makmur Lestari,Padasa Enam Utama,Yes,,Yes,Yes,East Kalimantan,Paser,Muara Samu,,"Libur Dinding, Muser, Rantau Atas",26/10/2017,https://www.korankaltim.com/kaltimtara/read/8672/tuntut-kebun-plasma-sawit-warga-demo-pt-bmml,https://kaltim.tribunnews.com/2017/11/17/asisten-pemkab-paser-rapat-bersama-pt-bmml-tanpa-libatkan-wakil-petani-plasma?page=2,https://kaltim.tribunnews.com/2017/10/26/warga-tiga-desa-di-paser-demo-pt-bmml-beri-waktu-5-hari-menghadirkan-dirut-bmml,,,,
Bumi Permai Lestari,Golden Agri-Resources,Yes,,Yes,Yes,Bangka Belitung,West Bangka,Kelapa,,,27/07/2018,https://pilarradio.com/2018/07/24/ribuan-warga-tuntut-kebun-plasma/,https://wowbabel.com/2018/06/07/diduga-tak-berikan-csr-dua-perusahaan-sawit-digeruduk-massa,https://www.wartaekonomi.co.id/read189022/masyarakat-keluhkan-perkebunan-sawitke-dprd-bangka-belitung,https://babelreview.co.id/ratusan-warga-tuntut-dua-perusahaan-perkebunan-sawit,https://www.radarbangka.co.id/berita/detail/muntok/16541/bpl-diminta-laksanakan-kemitraan.html,https://goldenagri.com.sg/wp-content/uploads/2019/05/GAR-REPORT-ON-SOMO-CASES.pdf?v1,
Bumi Sawit Abadi Pratama,Unknown,Yes,,Yes,Yes,Central Kalimantan,Seruyan,Seruyan Raya,,Terawan,01/11/2017,https://kaltengekspres.com/2017/10/ratusan-warga-terawan-tuntut-pt-bsap-realisasi-plasma/,https://beritasampit.co.id/2017/11/01/ini-solusi-bupati-seruyan-terkait-realisasi-lahan-plasma-pt-bsap/,,,,,
Bumi Pratama Khatulistiwa,Wilmar,Yes,,Yes,Yes,West Kalimantan,Kubu Raya,Sungai Ambawang,Kuala Mandor-B,Sungai Enau (and others),02/06/2016,https://pontianak.tribunnews.com/2016/06/02/puluhan-petani-sawit-kuala-mandor-b-tuntut-pt-bpk-bebaskan-lahan-47-petani,https://www.kompasiana.com/adetanesia/5528b9866ea834711d8b457f/senjata-kami-sms,https://www.mongabay.co.id/2013/11/11/kala-warga-sungai-enau-kecewa-janji-janji-wilmar/,https://www.remotivi.or.id/di-balik-layar/531/dulu-parang-sekarang-ponsel,,,
Bumi Sawit Kencana,Wilmar,Yes,,,,Central Kalimantan,East Kotawaringin,,,,29/07/2016,https://www.jpnn.com/news/investor-asing-juga-tak-sediakan-plasma,https://landmatrix.org/media/uploads/bumi_sawit_kencana_rspo_asa3_audit_report_pt_bsk.pdf,,,,,
